11-05 13:05:47: Training starting...
11-05 13:05:47: New best reward -5.1 (-100.0%) at episode 0, saving model...
11-05 13:05:48: New best reward -1.5 (-70.6%) at episode 72, saving model...
11-05 13:05:51: New best reward -0.9 (-40.0%) at episode 1042, saving model...
11-05 13:05:51: New best reward 2.7 (-400.0%) at episode 1177, saving model...
11-05 13:05:53: New best reward 3.3 (+22.2%) at episode 1749, saving model...
11-05 13:05:56: New best reward 3.9 (+18.2%) at episode 2683, saving model...
11-05 13:06:18: New best reward 4.0 (+2.6%) at episode 8501, saving model...
11-05 13:06:24: New best reward 4.2 (+5.0%) at episode 10248, saving model...
11-05 13:06:28: New best reward 4.6 (+9.5%) at episode 11148, saving model...
11-05 13:06:32: New best reward 4.7 (+2.2%) at episode 12129, saving model...
11-05 13:06:34: New best reward 4.9 (+4.3%) at episode 12724, saving model...
11-05 13:06:35: New best reward 6.2 (+26.5%) at episode 12914, saving model...
11-05 13:06:39: New best reward 6.7 (+8.1%) at episode 13766, saving model...
11-05 13:06:45: New best reward 8.4 (+25.4%) at episode 15235, saving model...
11-05 13:07:24: New best reward 8.5 (+1.2%) at episode 23840, saving model...
11-05 13:07:33: New best reward 10.8 (+27.1%) at episode 25652, saving model...
11-05 13:18:42: New best reward 12.9 (+19.4%) at episode 146977, saving model...
11-05 13:18:47: New best reward 13.3 (+3.1%) at episode 147820, saving model...
11-05 13:18:47: New best reward 18.3 (+37.6%) at episode 147825, saving model...
11-05 13:19:32: New best reward 18.5 (+1.1%) at episode 154520, saving model...
11-05 13:19:51: New best reward 19.1 (+3.2%) at episode 157176, saving model...
11-05 13:20:10: New best reward 20.6 (+7.9%) at episode 159994, saving model...
11-05 13:20:13: New best reward 26.9 (+30.6%) at episode 160397, saving model...
11-05 13:20:15: New best reward 31.9 (+18.6%) at episode 160800, saving model...
11-05 13:21:04: New best reward 34.5 (+8.2%) at episode 167261, saving model...
11-05 13:21:35: New best reward 34.7 (+0.6%) at episode 171353, saving model...
11-05 13:22:44: New best reward 36.4 (+4.9%) at episode 180104, saving model...
11-05 13:22:56: New best reward 50.4 (+38.5%) at episode 181659, saving model...
11-05 13:29:12: New best reward 53.2 (+5.6%) at episode 223754, saving model...
11-05 13:31:51: New best reward 57.5 (+8.1%) at episode 240062, saving model...
11-05 13:32:57: New best reward 57.6 (+0.2%) at episode 246896, saving model...
11-05 13:36:31: New best reward 64.8 (+12.5%) at episode 266919, saving model...
11-05 13:38:17: New best reward 69.0 (+6.5%) at episode 276372, saving model...
11-05 13:52:35: New best reward 74.2 (+7.5%) at episode 352039, saving model...
11-05 14:04:44: New best reward 74.3 (+0.1%) at episode 409231, saving model...
11-05 14:10:27: New best reward 75.1 (+1.1%) at episode 433952, saving model...
11-05 14:41:18: New best reward 80.7 (+7.5%) at episode 561507, saving model...
11-05 14:51:58: New best reward 96.9 (+20.1%) at episode 597438, saving model...
11-05 16:17:41: New best reward 104.5 (+7.8%) at episode 792999, saving model...
