11-14 19:28:06: Training starting...
11-14 19:28:07: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-14 19:28:07: New best reward -6.9 (-14.8%) at episode 1, saving model...
11-14 19:28:07: New best reward -6.3 (-8.7%) at episode 8, saving model...
11-14 19:28:07: New best reward -5.1 (-19.0%) at episode 12, saving model...
11-14 19:28:07: New best reward -3.9 (-23.5%) at episode 30, saving model...
11-14 19:28:07: New best reward -3.3 (-15.4%) at episode 69, saving model...
11-14 19:28:10: New best reward -2.7 (-18.2%) at episode 394, saving model...
11-14 19:28:10: New best reward 3.9 (-244.4%) at episode 482, saving model...
11-14 19:28:52: New best reward 4.0 (+2.6%) at episode 5243, saving model...
11-14 19:29:04: New best reward 4.7 (+17.5%) at episode 6481, saving model...
11-14 19:29:15: New best reward 6.0 (+27.7%) at episode 7496, saving model...
11-14 19:29:25: New best reward 6.3 (+5.0%) at episode 8353, saving model...
11-14 19:29:36: New best reward 6.5 (+3.2%) at episode 9183, saving model...
11-14 19:29:43: New best reward 8.4 (+29.2%) at episode 9781, saving model...
11-14 19:30:29: New best reward 8.5 (+1.2%) at episode 13733, saving model...
11-14 19:30:47: New best reward 9.3 (+9.4%) at episode 15215, saving model...
11-14 19:30:49: New best reward 10.5 (+12.9%) at episode 15360, saving model...
11-14 19:31:13: New best reward 10.7 (+1.9%) at episode 17300, saving model...
11-14 19:31:17: New best reward 11.1 (+3.7%) at episode 17585, saving model...
11-14 19:31:28: New best reward 11.3 (+1.8%) at episode 18453, saving model...
11-14 19:32:34: New best reward 13.4 (+18.6%) at episode 23407, saving model...
11-14 19:32:39: New best reward 17.9 (+33.6%) at episode 23813, saving model...
11-14 19:33:09: New best reward 20.6 (+15.1%) at episode 25971, saving model...
11-14 19:33:26: New best reward 23.1 (+12.1%) at episode 27074, saving model...
11-14 19:34:05: New best reward 23.2 (+0.4%) at episode 29634, saving model...
11-14 19:35:23: New best reward 31.9 (+37.5%) at episode 34641, saving model...
11-14 19:36:44: New best reward 34.3 (+7.5%) at episode 39554, saving model...
11-14 19:39:22: New best reward 34.8 (+1.5%) at episode 48251, saving model...
11-14 19:40:20: New best reward 36.4 (+4.6%) at episode 51288, saving model...
11-14 19:40:25: New best reward 36.9 (+1.4%) at episode 51501, saving model...
11-14 19:40:25: New best reward 46.7 (+26.6%) at episode 51517, saving model...
11-14 19:42:05: New best reward 54.9 (+17.6%) at episode 56240, saving model...
11-14 19:43:08: New best reward 68.9 (+25.5%) at episode 59067, saving model...
11-14 19:43:12: New best reward 78.7 (+14.2%) at episode 59220, saving model...
11-14 19:46:23: New best reward 79.2 (+0.6%) at episode 66524, saving model...
11-14 19:47:09: New best reward 92.4 (+16.7%) at episode 68016, saving model...
11-14 19:48:46: New best reward 96.9 (+4.9%) at episode 71412, saving model...
11-14 19:50:50: New best reward 106.7 (+10.1%) at episode 75664, saving model...
11-14 19:51:15: New best reward 110.9 (+3.9%) at episode 76556, saving model...
11-14 19:52:46: New best reward 113.7 (+2.5%) at episode 79536, saving model...
11-14 19:57:07: New best reward 120.4 (+5.9%) at episode 88656, saving model...
11-14 19:58:36: New best reward 123.3 (+2.4%) at episode 91575, saving model...
11-14 19:59:16: New best reward 124.9 (+1.3%) at episode 92910, saving model...
11-14 19:59:32: New best reward 145.0 (+16.1%) at episode 93370, saving model...
11-14 20:12:02: New best reward 158.7 (+9.4%) at episode 116390, saving model...
11-14 20:16:25: New best reward 176.4 (+11.2%) at episode 124000, saving model...
11-14 20:24:35: New best reward 204.4 (+15.9%) at episode 137862, saving model...
11-14 20:42:27: New best reward 218.4 (+6.8%) at episode 164995, saving model...
11-14 20:43:11: New best reward 232.4 (+6.4%) at episode 166114, saving model...
11-14 21:14:56: New best reward 236.9 (+1.9%) at episode 206907, saving model...
11-14 21:15:47: New best reward 246.4 (+4.0%) at episode 207891, saving model...
11-14 21:18:29: New best reward 311.9 (+26.6%) at episode 210802, saving model...
11-14 21:43:29: New best reward 348.9 (+11.9%) at episode 238109, saving model...
11-14 22:09:03: New best reward 358.9 (+2.9%) at episode 263941, saving model...
11-14 22:16:46: New best reward 362.9 (+1.1%) at episode 271834, saving model...
11-14 22:31:31: New best reward 407.1 (+12.2%) at episode 285947, saving model...
