11-14 15:57:24: Training starting...
11-14 15:57:24: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-14 15:57:25: New best reward -7.5 (-7.4%) at episode 5, saving model...
11-14 15:57:25: New best reward -6.9 (-8.0%) at episode 9, saving model...
11-14 15:57:25: New best reward -5.7 (-17.4%) at episode 19, saving model...
11-14 15:57:25: New best reward -5.1 (-10.5%) at episode 42, saving model...
11-14 15:57:25: New best reward -3.9 (-23.5%) at episode 66, saving model...
11-14 15:57:27: New best reward -0.9 (-76.9%) at episode 356, saving model...
11-14 15:57:29: New best reward 3.9 (-533.3%) at episode 622, saving model...
11-14 15:58:23: New best reward 4.0 (+2.6%) at episode 6429, saving model...
11-14 15:58:28: New best reward 4.1 (+2.5%) at episode 6884, saving model...
11-14 15:58:30: New best reward 6.0 (+46.3%) at episode 7067, saving model...
11-14 15:58:46: New best reward 6.8 (+13.3%) at episode 8480, saving model...
11-14 15:59:02: New best reward 8.4 (+23.5%) at episode 9862, saving model...
11-14 15:59:08: New best reward 9.3 (+10.7%) at episode 10432, saving model...
11-14 16:03:07: New best reward 9.5 (+2.2%) at episode 28767, saving model...
11-14 16:03:08: New best reward 12.9 (+35.8%) at episode 28842, saving model...
11-14 16:03:11: New best reward 14.0 (+8.5%) at episode 28987, saving model...
11-14 16:03:11: New best reward 15.0 (+7.1%) at episode 29035, saving model...
11-14 16:03:16: New best reward 18.9 (+26.0%) at episode 29356, saving model...
11-14 16:03:22: New best reward 19.0 (+0.5%) at episode 29757, saving model...
11-14 16:03:29: New best reward 20.6 (+8.4%) at episode 30183, saving model...
11-14 16:03:31: New best reward 22.4 (+8.7%) at episode 30303, saving model...
11-14 16:03:41: New best reward 23.0 (+2.7%) at episode 30924, saving model...
11-14 16:03:53: New best reward 26.9 (+17.0%) at episode 31648, saving model...
11-14 16:03:59: New best reward 32.6 (+21.2%) at episode 32015, saving model...
11-14 16:05:24: New best reward 36.4 (+11.7%) at episode 37052, saving model...
11-14 16:06:30: New best reward 37.1 (+1.9%) at episode 40585, saving model...
11-14 16:06:53: New best reward 37.3 (+0.5%) at episode 41733, saving model...
11-14 16:06:59: New best reward 48.3 (+29.5%) at episode 42074, saving model...
11-14 16:07:24: New best reward 50.4 (+4.3%) at episode 43277, saving model...
11-14 16:07:24: New best reward 51.0 (+1.2%) at episode 43288, saving model...
11-14 16:07:59: New best reward 51.3 (+0.6%) at episode 44945, saving model...
11-14 16:08:08: New best reward 64.5 (+25.7%) at episode 45353, saving model...
11-14 16:09:17: New best reward 87.9 (+36.3%) at episode 48331, saving model...
11-14 16:10:01: New best reward 90.4 (+2.8%) at episode 50064, saving model...
11-14 16:10:39: New best reward 96.9 (+7.2%) at episode 51392, saving model...
11-14 16:13:30: New best reward 111.7 (+15.3%) at episode 57612, saving model...
11-14 16:14:39: New best reward 127.4 (+14.1%) at episode 59882, saving model...
11-14 16:14:53: New best reward 138.9 (+9.0%) at episode 60368, saving model...
11-14 16:20:46: New best reward 153.6 (+10.6%) at episode 72246, saving model...
11-14 16:22:25: New best reward 164.6 (+7.2%) at episode 75526, saving model...
11-14 16:23:22: New best reward 176.4 (+7.2%) at episode 77389, saving model...
11-14 16:42:12: New best reward 186.9 (+6.0%) at episode 113286, saving model...
11-14 17:06:31: New best reward 202.3 (+8.2%) at episode 155944, saving model...
11-14 17:10:46: New best reward 204.4 (+1.0%) at episode 162222, saving model...
11-14 17:29:02: New best reward 209.0 (+2.3%) at episode 185000, saving model...
11-14 17:34:28: New best reward 289.3 (+38.4%) at episode 190864, saving model...
11-14 17:44:50: New best reward 311.9 (+7.8%) at episode 201555, saving model...
11-14 17:59:51: New best reward 321.8 (+3.2%) at episode 215556, saving model...
11-14 18:10:30: New best reward 418.9 (+30.2%) at episode 225017, saving model...
11-14 19:15:10: New best reward 419.9 (+0.2%) at episode 277261, saving model...
